Symbol,Name,Sector,description
RE,Everest Re Group Ltd.,Financials,"Everest Re Group is a reinsurance company based in Hamilton, Bermuda."
ES,Eversource Energy,Utilities,"Eversource Energy is a publicly traded, Fortune 500 energy company headquartered in Hartford, Connecticut and Boston, Massachusetts, with several regulated subsidiaries offering retail electricity, ..."
EXC,Exelon Corp.,Utilities,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois. It generates revenues of approximately $33.5 billion and employs approximately 34,000 people."
EXPE,Expedia Inc.,Consumer Discretionary,"Expedia Group is a global travel company. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include Expedia.com, Hotels.com, Hotwire.com, CarRentals.com, trivago, Venere.com, Travelocity, Orbitz, and HomeAway."
EXPD,Expeditors International,Industrials,"Expeditors is a global logistics and freight forwarding company headquartered in Seattle, Washington."
ESRX,Express Scripts,Health Care,"Express Scripts Holding Company is an American Fortune 100 company. As of 2017, the company is the 22nd-largest in the United States as well as the largest pharmacy benefit management organization in the United States."
EXR,Extra Space Storage,Real Estate,"Extra Space Storage is a US provider of self-storage units, with 1,483 facilities across 39 states plus Washington, D.C. and Puerto Rico."
XOM,Exxon Mobil Corp.,Energy,"Exxon Mobil Corporation is an American multinational oil and gas corporation headquartered in Irving, Texas."
FFIV,F5 Networks,Information Technology,"F5 Networks, Inc. is an American-based company that specializes in application delivery networking technology for the delivery of web applications and the security, performance, availability of servers, ..."
FB,"Facebook, Inc.",Information Technology,"Facebook is an American online social media and social networking service company based in Menlo Park, California."
FAST,Fastenal Co,Industrials,"Fastenal Company is an American company based in Winona, Minnesota. Distributing goods used by other businesses, it has over 2,600 branches throughout the US, Canada, Mexico and Europe along with 13 distribution centers."
FRT,Federal Realty Investment Trust,Real Estate,"Federal Realty Investment Trust is a real estate investment trust that invests in shopping centers in the Northeastern United States, the Mid-Atlantic states, California, and South Florida."
FDX,FedEx Corporation,Industrials,"FedEx Corporation is an American multinational courier delivery services company headquartered in Memphis, Tennessee."
FIS,Fidelity National Information Services,Information Technology,"Fidelity National Information Services Inc., better known by the abbreviation FIS, is an international provider of financial services technology and outsourcing services."
FITB,Fifth Third Bancorp,Financials,"Fifth Third Bank is a bank headquartered in Cincinnati, Ohio at Fifth Third Center. It is the principal subsidiary of Fifth Third Bancorp, a bank holding company."
FE,FirstEnergy Corp,Utilities,"FirstEnergy Corp is an electric utility headquartered in Akron, Ohio. Its subsidiaries and affiliates are involved in the distribution, transmission, and generation of electricity, as well as energy management and other energy-related services."
FISV,Fiserv Inc,Information Technology,"Fiserv, Inc., is a US provider financial services technology. The company's clients include banks, thrifts, credit unions, securities broker dealers, leasing and finance companies, and retailers, among others."
FLIR,FLIR Systems,Information Technology,"FLIR Systems is the world's largest commercial company specializing in the design and production of thermal imaging cameras, components and imaging sensors."
FLS,Flowserve Corporation,Industrials,"The Flowserve Corporation is an American multinational corporation and one of the largest suppliers of industrial and environmental machinery such as pumps, valves, end face mechanical seals, automation, ..."
FLR,Fluor Corp.,Industrials,"Fluor Corporation is a multinational engineering and construction firm headquartered in Irving, Texas."
FMC,FMC Corporation,Materials,"FMC Corporation is an American chemical manufacturing company headquartered in Philadelphia, Pennsylvania."
FL,Foot Locker Inc,Consumer Discretionary,"Foot Locker Retail, Inc. is an American sportswear and footwear retailer, with its headquarters in Midtown Manhattan, New York City, and operating in 28 countries worldwide."
F,Ford Motor,Consumer Discretionary,"The Ford Motor Company is an American multinational automaker headquartered in Dearborn, Michigan, a suburb of Detroit. It was founded by Henry Ford and incorporated on June 16, 1903."
FTV,Fortive Corp,Industrials,"Fortive is a diversified industrial conglomerate company headquartered in Everett, Washington, United States."
FBHS,Fortune Brands Home & Security,Industrials,"Fortune Brands Home & Security, Inc. is an American manufacturer of home fixtures and hardware, headquartered in Deerfield, Illinois."
BEN,Franklin Resources,Financials,"Franklin Resources Inc. is an American holding company that, together with its subsidiaries, is referred to as Franklin Templeton Investments; it is a global investment firm founded in New York City in 1947 as Franklin Distributors, Inc."
FCX,Freeport-McMoRan Inc.,Materials,"Freeport-McMoRan Inc., often called Freeport, is a mining company based in the Freeport-McMoRan Center, in Phoenix, Arizona."
GPS,Gap Inc.,Consumer Discretionary,"The Gap, Inc., commonly known as Gap Inc. or Gap, is an American worldwide clothing and accessories retailer.It was founded in 1969 by Donald Fisher and Doris F. Fisher and is headquartered in San Francisco, California."
GRMN,Garmin Ltd.,Consumer Discretionary,"Garmin Ltd. is an American multinational technology company founded by Gary Burrell and Min Kao in 1989 in Lenexa, Kansas, United States, with headquarters located in Olathe, Kansas."
IT,Gartner Inc,Information Technology,"Gartner, Inc. is an American research and advisory firm providing information technology-related insight for IT and other business leaders located across the world. Its headquarters are in Stamford, Connecticut, United States."
GD,General Dynamics,Industrials,General Dynamics Corporation is an American aerospace and defense multinational corporation formed by mergers and divestitures. It is the world's fifth-largest defense contractor based on 2012 revenues.
GE,General Electric,Industrials,"General Electric is an American multinational conglomerate incorporated in New York and headquartered in Boston, Massachusetts."
GGP,General Growth Properties Inc.,Real Estate,"GGP Inc. is a publicly-traded real estate investment trust that invests in shopping centers.The company is headquartered in Chicago, Illinois."
GIS,General Mills,Consumer Staples,"General Mills, Inc., is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. It is headquartered in Golden Valley, Minnesota, a suburb of Minneapolis."
GM,General Motors,Consumer Discretionary,"General Motors Company, commonly referred to as General Motors, is an American multinational corporation headquartered in Detroit that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services."
GPC,Genuine Parts,Consumer Discretionary,"Genuine Parts Company is an American service organization engaged in the distribution of automotive replacement parts, industrial replacement parts, office products and electrical/electronic materials."
GILD,Gilead Sciences,Health Care,"Gilead Sciences, Inc., commonly known as Gilead Sciences or Gilead, is an American biopharmaceutical company that researches, develops and commercializes drugs."
GPN,Global Payments Inc.,Information Technology,"Global Payments Inc. is an American company providing financial technology services globally. Headquartered in Atlanta, its stock is a component of the S&P 500 stock market index."
GS,Goldman Sachs Group,Financials,"The Goldman Sachs Group, Inc. is an American multinational investment bank and financial services company headquartered in New York City."
GT,Goodyear Tire & Rubber,Consumer Discretionary,"The Goodyear Tire & Rubber Company is an American multinational tire manufacturing company founded in 1898 by Frank Seiberling and based in Akron, Ohio."
GWW,Grainger (W.W.) Inc.,Industrials,"W. W. Grainger, Inc. is a Fortune 500 industrial supply company founded in 1927 in Chicago. Grainger serves more than 3 million customers worldwide with offerings such as motors, lighting, material ..."
HAL,Halliburton Co.,Energy,"Halliburton is an American multinational corporation. One of the world's largest oil field service companies, it has operations in more than 70 countries."
HBI,Hanesbrands Inc,Consumer Discretionary,"Hanesbrands Inc. is an American clothing company based in Winston-Salem, North Carolina. It employs 65,300 people internationally. On September 6, 2006, the company was spun off by the Sara Lee Corporation."
HOG,Harley-Davidson,Consumer Discretionary,"Harley-Davidson, Inc., or Harley, is an American motorcycle manufacturer, founded in Milwaukee, Wisconsin in 1903."
HRS,Harris Corporation,Information Technology,"Harris Corporation is an American technology company, defense contractor and information technology services provider that produces wireless equipment, tactical radios, electronic systems, night vision ..."
HIG,Hartford Financial Svc.Gp.,Financials,NA
HAS,Hasbro Inc.,Consumer Discretionary,"Hasbro, Inc. is an American multinational toy and board game company. It is the largest toy maker in the world in terms of stock market value, and third largest with revenues of approximately $5.12 billion."
HCA,HCA Holdings,Health Care,Hospital Corporation of America is an American for-profit operator of health care facilities that was founded in 1968.
HCP,HCP Inc.,Real Estate,"HCP, Inc., formerly Healthcare Property Investors Inc., is a Real Estate Investment Trust, invests primarily in real estate serving the United States healthcare industry."
HP,Helmerich & Payne,Energy,"Helmerich & Payne, Inc. is a petroleum contract drilling company engaged in oil and gas well drilling for exploration and production companies headquartered in Tulsa, Oklahoma, with operations throughout the world."
HSIC,Henry Schein,Health Care,Henry Schein Inc. is a distributor of health care products and services with a presence in 32 countries. The company is a Fortune Worlds Most Admired Company and is ranked number one in its industry for social responsibility.
HES,Hess Corporation,Energy,NA
HPE,Hewlett Packard Enterprise,Information Technology,Hewlett Packard Enterprise and its predecessor entities have a long history of developing and selling networking products.
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hilton Worldwide Holdings Inc., formerly Hilton Hotels Corporation, is an American multinational hospitality company that manages and franchises a broad portfolio of hotels and resorts."
HOLX,Hologic,Health Care,"Hologic, Inc. is an innovative medical technology company primarily focused on improving womens health and well-being through early detection and treatment."
HD,Home Depot,Consumer Discretionary,"The Home Depot, Inc. or Home Depot is an American home improvement supplies retailing company that sells tools, construction products, and services."
HON,Honeywell Int'l Inc.,Industrials,NA
HRL,Hormel Foods Corp.,Consumer Staples,"Hormel Foods Corporation is an American food company based in Austin, Minnesota. The company was founded as George A. Hormel & Company in Austin by George A. Hormel in 1891. It changed its name to Hormel Foods in 1993."
HST,Host Hotels & Resorts,Real Estate,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels. As of February 20, 2018, the company owned 93 upscale hotels containing approximately 52,000 rooms."
HPQ,HP Inc.,Information Technology,"The Hewlett-Packard Company or shortened to Hewlett-Packard was an American multinational information technology company headquartered in Palo Alto, California."
HUM,Humana Inc.,Health Care,"Humana Inc. is a for-profit American health insurance company based in Louisville, Kentucky. As of 2014 Humana has had over 13 million customers in the U.S., reported a 2013 revenue of US$41.3 billion, and has had 51,600 employees."
HBAN,Huntington Bancshares,Financials,"Huntington Bancshares is a bank holding company headquartered in Columbus, Ohio. The company is ranked 610th on the Fortune 500. It is on the list of largest banks in the United States."
HII,Huntington Ingalls Industries,Industrials,"Huntington Ingalls Industries is an American Fortune 500 shipbuilding company formed on March 31, 2011 as a spin-off of Northrop Grumman.Mike Petters is currently the president and CEO of Huntington Ingalls Industries."
IDXX,IDEXX Laboratories,Health Care,"IDEXX Laboratories, Inc. is an American multinational corporation on the S&P 500 and NASDAQ-100 indices engaged in the development, manufacture, and distribution of products and services for the companion ..."
INFO,IHS Markit Ltd.,Industrials,"IHS Markit Ltd is a global information provider based in London, United Kingdom.IHS Inc. and Markit Ltd. merged on July 13, 2016."
ITW,Illinois Tool Works,Industrials,"Illinois Tool Works Inc. or ITW is a Fortune 500 company that produces engineered fasteners and components, equipment and consumable systems, and specialty products. It was founded in 1912 by Byron L. Smith."
ILMN,Illumina Inc,Health Care,"Illumina, Inc. is an American company incorporated in April 1998 that develops, manufactures and markets integrated systems for the analysis of genetic variation and biological function."
INCY,Incyte,Health Care,"Incyte, Corp is an American pharmaceutical company based in Alapocas, Delaware. The company was founded in Palo Alto, California in 1991 and went public in 1993."
IR,Ingersoll-Rand PLC,Industrials,"Ingersoll-Rand plc is an Irish global diversified industrial manufacturing company formed in 1905 by the merger of Ingersoll-Sergeant Drill Company and Rand Drill Company, rival companies that had each been founded in 1871."
INTC,Intel Corp.,Information Technology,"Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in the Silicon Valley."
ICE,Intercontinental Exchange,Financials,"Intercontinental Exchange is an American company that owns exchanges for financial and commodity markets, and operates 23 regulated exchanges and marketplaces."
IBM,International Business Machines,Information Technology,"The International Business Machines Corporation is an American multinational technology company headquartered in Armonk, New York, United States, with operations in over 170 countries."
IP,International Paper,Materials,"The International Paper Company is an American pulp and paper company, the largest such company in the world. It has approximately 55,000 employees, and it is headquartered in Memphis, Tennessee."
IPG,Interpublic Group,Consumer Discretionary,"The Interpublic Group of Companies, Inc. is an American publicly traded advertising company.The company consists of three major networks: McCann Worldgroup, Lowe and Partners, and FCB."
IFF,Intl Flavors & Fragrances,Materials,NA
INTU,Intuit Inc.,Information Technology,"Intuit Inc. is a business and financial software company that develops and sells financial, accounting, and tax preparation software and related services for small businesses, accountants, and individuals."
ISRG,Intuitive Surgical Inc.,Health Care,"Intuitive Surgical Inc. is an American corporation that develops, manufactures and markets robotic products designed to improve clinical outcomes of patients through minimally invasive surgery, most notably with the da Vinci Surgical System."
IVZ,Invesco Ltd.,Financials,"Invesco Ltd. is an American independent investment management company that is headquartered in Atlanta, Georgia, United States, and has branch offices in 20 countries."
IPGP,IPG Photonics Corp.,Information Technology,"IPG Photonics is a manufacturer of fiber lasers and fiber amplifiers. IPG is headquartered in Oxford, Massachusetts, and operates internationally."
IQV,IQVIA Holdings Inc.,Health Care,"IQVIA, formerly Quintiles IMS Holdings, Inc., is an American multinational company serving the combined industries of health information technologies and clinical research."
IRM,Iron Mountain Incorporated,Real Estate,"Iron Mountain Inc. is an American enterprise information management services company founded in 1951 and headquartered in Boston, Massachusetts."
JBHT,J. B. Hunt Transport Services,Industrials,"J.B. Hunt Transport Services, Inc. is a trucking and transportation company that was founded by Johnnie Bryan Hunt, and based in the Northwest Arkansas city of Lowell."
JEC,Jacobs Engineering Group,Industrials,Jacobs Engineering Group Inc. is an international technical professional services firm.
SJM,JM Smucker,Consumer Staples,"The J. M. Smucker Company, also known as Smucker and Smucker's, is an American manufacturer of fruit spreads, ice cream toppings, beverages, shortening, peanut butter, oils, and other products in North America."
JNJ,Johnson & Johnson,Health Care,"Johnson & Johnson is an American multinational medical devices, pharmaceutical and consumer packaged goods manufacturing company founded in 1886."
JCI,Johnson Controls International,Industrials,"Johnson Controls International plc is a multinational conglomerate headquartered in Cork, Ireland, that produces automotive parts such as batteries, and electronics and HVAC equipment for buildings."
JPM,JPMorgan Chase & Co.,Financials,JPMorgan Chase & Co. is an American multinational investment bank and financial services company headquartered in New York City.
JNPR,Juniper Networks,Information Technology,"Juniper Networks, Inc. is an American multinational corporation headquartered in Sunnyvale, California that develops and markets networking products."
KSU,Kansas City Southern,Industrials,"The Kansas City Southern Railway Company, owned by Kansas City Southern, is the smallest and third-oldest Class I railroad in North America still in operation. Founded in 1887, KCS currently operates in 10 central U.S. states."
K,Kellogg Co.,Consumer Staples,"Kellogg Company, doing business as Kellogg's, is an American multinational food-manufacturing company headquartered in Battle Creek, Michigan, United States."
KEY,KeyCorp,Financials,"KeyBank, the primary subsidiary of KeyCorp, is a regional bank headquartered in Cleveland, Ohio, and is the only major bank based in Cleveland. KeyBank is on the list of largest banks in the United States."
KMB,Kimberly-Clark,Consumer Staples,Kimberly-Clark Corporation is an American multinational personal care corporation that produces mostly paper-based consumer products.
KIM,Kimco Realty,Real Estate,"Kimco Realty Corporation is a real estate investment trust headquartered in New Hyde Park, New York., that is one of North Americas largest publicly traded owner and operator of open-air shopping centers."
KMI,Kinder Morgan,Energy,"Kinder Morgan, Inc. is one of the largest energy infrastructure companies in North America. The company specializes in owning and controlling oil and gas pipelines and terminals."
KLAC,KLA-Tencor Corp.,Information Technology,"KLA-Tencor Corporation is a global capital equipment company based in Milpitas, California. It supplies process control and yield management systems for the semiconductor industry and other related nanoelectronics industries."
KSS,Kohl's Corp.,Consumer Discretionary,"Kohl's Corporation is an American department store retailing chain. The first Kohl's store was a corner grocery store opened in Milwaukee, Wisconsin in 1927 by Polish immigrant Maxwell Kohl."
KHC,Kraft Heinz Co,Consumer Staples,"Kraft Foods Group, Inc. is an American grocery manufacturing and processing conglomerate headquartered in the Chicago suburb of Northfield, Illinois, part of the Kraft Heinz Company."
KR,Kroger Co.,Consumer Staples,"The Kroger Company, or simply Kroger, is an American retailing company founded by Bernard Kroger in 1883 in Cincinnati, Ohio."
LB,L Brands Inc.,Consumer Discretionary,"L Brands, Inc. is an American fashion retailer based in Columbus, Ohio.Its flagship brands include Victoria's Secret and Bath & Body Works."
LLL,L-3 Communications Holdings,Industrials,"L3 Technologies, formerly L-3 Communications Holdings, is an American company that supplies command and control, communications, intelligence, surveillance and reconnaissance systems and products, ..."
LH,Laboratory Corp. of America Holding,Health Care,NA
LRCX,Lam Research,Information Technology,"Lam Research Corporation is an American corporation that engages in the design, manufacture, marketing, and service of semiconductor processing equipment used in the fabrication of integrated circuits."
LEG,Leggett & Platt,Consumer Discretionary,NA
LEN,Lennar Corp.,Consumer Discretionary,"Lennar Corporation is a home construction and real estate company based in Miami, Florida. In 2017 the company was the largest home construction company in the United States after its purchase of CalAtlantic Homes."
LUK,Leucadia National Corp.,Financials,Jefferies Financial Group Inc is an American conglomerate and investment holding company based in New York City.
LLY,Lilly (Eli) & Co.,Health Care,"Eli Lilly and Company is a global pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries."
LNC,Lincoln National,Financials,"Lincoln National Corporation is a Fortune 250 American holding company, which operates multiple insurance and investment management businesses through subsidiary companies."
LKQ,LKQ Corporation,Consumer Discretionary,"LKQ Corporation is a US-based provider of alternative and specialty parts to repair and accessorize automobiles and other vehicles. LKQ has operations in North America, Europe and Taiwan."
LMT,Lockheed Martin Corp.,Industrials,"Lockheed Martin is an American global aerospace, defense, security and advanced technologies company with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995."
L,Loews Corp.,Financials,"Loews Corporation is an American conglomerate headquartered in New York City. The company's majority-stake holdings include CNA Financial Corporation, Diamond Offshore Drilling, Boardwalk Pipeline ..."
LOW,Lowe's Cos.,Consumer Discretionary,"Lowe's Companies, Inc., doing business as Lowe's, and stylized as LOWE'S, is a Fortune 500 American company that operates a chain of retail home improvement and appliance stores in the United States, Canada, and Mexico."
LYB,LyondellBasell,Materials,"LyondellBasell Industries N.V. is a public multinational chemical company with American and European roots, incorporated in the Netherlands, with U.S. operations headquarters in Houston, Texas, and global operations in London, UK."
MTB,M&T Bank Corp.,Financials,NA
MAC,Macerich,Real Estate,"Macerich is a self-managed Real Estate Investment Trust headquartered in Santa Monica, California. It is the third-largest owner and operator of shopping centers in the United States."
M,Macy's Inc.,Consumer Discretionary,"Macy's is an American department store chain; it was founded by Rowland Hussey Macy in 1858. It became a division of the Cincinnati-based Federated Department Stores in 1994, through which it is affiliated ..."
MRO,Marathon Oil Corp.,Energy,"Marathon Oil Corporation is an American petroleum and natural gas exploration and production company headquartered in the Marathon Oil Tower in Houston, Texas."
MPC,Marathon Petroleum,Energy,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio. The company was a wholly owned subsidiary of Marathon Oil until a corporate spin-off in 2011."
MAR,Marriott Int'l.,Consumer Discretionary,NA
MMC,Marsh & McLennan,Financials,"Marsh is a global professional services firm, headquartered in New York City with operations in insurance broking and risk management. Marsh is a subsidiary of Marsh & McLennan Companies and a member of its Risk & Insurance Services business unit."
MLM,Martin Marietta Materials,Materials,"Martin Marietta, an American-based company and a member of the S&P 500 Index, is a leading supplier of aggregates and heavy building materials, with operations spanning 26 states, Canada and the Caribbean."
MAS,Masco Corp.,Industrials,Masco Corporation is a manufacturer of products for the home improvement and new home construction markets.
MA,Mastercard Inc.,Information Technology,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York, United States."
MAT,Mattel Inc.,Consumer Discretionary,"Mattel, Inc. is an American multinational toy manufacturing company founded in 1945 with headquarters in El Segundo, California."
MKC,McCormick & Co.,Consumer Staples,NA
MCD,McDonald's Corp.,Consumer Discretionary,"McDonald's is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand."
MCK,McKesson Corp.,Health Care,"McKesson Corporation is an American healthcare company distributing pharmaceuticals and providing health information technology, medical supplies, and care management tools. The company had revenues of $198.5 billion in 2017."
MDT,Medtronic plc,Health Care,"Medtronic plc is a medical device company. Its headquarters are in Dublin, Ireland. Its operational headquarters are in Fridley, Minnesota. Medtronic is among the world's largest medical equipment development companies."
MRK,Merck & Co.,Health Care,"Merck & Company, Inc., d.b.a. Merck Sharp & Dohme outside the United States and Canada, is an American pharmaceutical company and one of the largest pharmaceutical companies in the world."
MET,MetLife Inc.,Financials,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company, better known as MetLife, and its affiliates."
MTD,Mettler Toledo,Health Care,"METTLER TOLEDO is a multinational manufacturer of scales and analytical instruments. It is the largest provider of weighing instruments for use in laboratory, industrial, and food retailing applications."
MGM,MGM Resorts International,Consumer Discretionary,"MGM Resorts International is an American global hospitality and entertainment company operating destination resorts in Las Vegas, Mississippi, Maryland, New Jersey, and Detroit, including Bellagio, MGM Grand, Mandalay Bay and The Mirage."
KORS,Michael Kors Holdings,Consumer Discretionary,"Michael Kors Holdings Limited is an American fashion company. It was started in 1981 by Michael Kors, and opened its first retail stores in 2006. It sells clothes, shoes, watches, handbags and other accessories."
MCHP,Microchip Technology,Information Technology,"Microchip Technology is an American manufacturer of microcontroller, memory and analog semiconductors."
MU,Micron Technology,Information Technology,"Micron Technology, Inc. is an American global corporation based in Boise, Idaho. The company produces many forms of semiconductor devices, including dynamic random-access memory, flash memory, and solid-state drives."
MSFT,Microsoft Corp.,Information Technology,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and services."
MAA,Mid-America Apartments,Real Estate,"Mid-America Apartment Communities is a publicly-traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States."
MHK,Mohawk Industries,Consumer Discretionary,"Mohawk Industries is an American flooring manufacturer based in Calhoun, Georgia, United States. Mohawk produces floor covering products for residential and commercial applications in North America and residential applications in Europe."
TAP,Molson Coors Brewing Company,Consumer Staples,"The Molson Coors Brewing Company is a multinational brewing company, formed in 2005 by the merger of Molson of Canada, and Coors of the United States. It is the world's seventh largest brewer by volume."
MDLZ,Mondelez International,Consumer Staples,"Mondelz International, Inc., is an American multinational confectionery, food, and beverage company based in Illinois which employs about 107,000 people around the world."
MON,Monsanto Co.,Materials,"Monsanto Company is a publicly traded American multinational agrochemical and agricultural biotechnology corporation. It is headquartered in Creve Coeur, Greater St. Louis, Missouri."
MNST,Monster Beverage,Consumer Staples,"Monster Beverage Corporation is an American beverage company that manufactures energy drinks including Monster Energy, Relentless and Burn."
MCO,Moody's Corp,Financials,"Moody's Investors Service, often referred to as Moody's, is the bond credit rating business of Moody's Corporation, representing the company's traditional line of business and its historical name."
MS,Morgan Stanley,Financials,"Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in the Morgan Stanley Building, Midtown Manhattan, New York City."
MSI,Motorola Solutions Inc.,Information Technology,"Motorola Solutions, Inc. is an American data communications and telecommunications equipment provider that succeeded Motorola, Inc., following the spinoff of the mobile phone division into Motorola Mobility in 2011."
MYL,Mylan N.V.,Health Care,"Mylan N.V. is an American global generic and specialty pharmaceuticals company registered in the Netherlands, with principal executive offices in Hatfield, Hertfordshire, UK and global headquarters in Canonsburg, Pennsylvania, US."
NDAQ,"Nasdaq, Inc.",Financials,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates the NASDAQ stock market and eight European stock exchanges, namely Armenian Stock Exchange, Copenhagen ..."
NOV,National Oilwell Varco Inc.,Energy,"National Oilwell Varco is an American multinational corporation based in Greater Sharpstown, Houston, Texas."
NAVI,Navient,Financials,"Navient is a U.S. corporation based in Wilmington, Delaware, whose operations include servicing and collecting on student loans."
NKTR,Nektar Therapeutics,Health Care,"Nektar Therapeutics is an American biopharmaceutical company. The company was founded in 1990 and is based in San Francisco, California."
NTAP,NetApp,Information Technology,"NetApp, Inc. is a hybrid cloud data services company headquartered in Sunnyvale, California. It has ranked in the Fortune 500 since 2012."
NFLX,Netflix Inc.,Information Technology,"Netflix, Inc. is an American entertainment company, headquartered in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, the company's primary businesses ..."
NWL,Newell Brands,Consumer Discretionary,"Newell Brands is an American worldwide marketer of consumer and commercial products with a portfolio of brands including Rubbermaid food storage, home organization and reusable container products; ..."
NFX,Newfield Exploration Co,Energy,"Newfield Exploration Company is a petroleum, natural gas, and natural gas liquids exploration and production company organized in Delaware and headquartered in Houston, Texas."
NEM,Newmont Mining Corporation,Materials,"Newmont Mining Corporation, based in Greenwood Village, Colorado, USA, is a mining company that traces its roots to the diversified holding company William Boyce Thompson established in 1916."
NWSA,News Corp. Class A,Consumer Discretionary,NA
NWS,News Corp. Class B,Consumer Discretionary,NA
NEE,NextEra Energy,Utilities,"NextEra Energy, Inc. is a Fortune 200 energy company with about 45,900 megawatts of generating capacity, revenues of over $17 billion, and about 14,000 employees throughout the United States and Canada."
NLSN,Nielsen Holdings,Industrials,"Nielsen Holdings PLC is a global information, data and measurement company with headquarters in the U.K.. Nielsen operates in over 100 countries and employs approximately 44,000 people worldwide. Total revenues were $6.2 billion in 2015."
NKE,Nike,Consumer Discretionary,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services."
NI,NiSource Inc.,Utilities,"NiSource, Inc., is one of the largest fully regulated utility companies in the United States, serving approximately 3.5 million natural gas customers and 500,000 electric customers across seven states ..."
NBL,Noble Energy Inc,Energy,"Noble Energy, Inc., formerly Noble Affiliates, Inc., is an American petroleum and natural gas exploration and production company headquartered in Houston, Texas. The company is ranked 653rd on the Fortune 1000."
JWN,Nordstrom,Consumer Discretionary,"Nordstrom Inc. is an American-based chain of department stores, also operating in Canada and Puerto Rico, headquartered in Seattle, Washington."
NSC,Norfolk Southern Corp.,Industrials,NA
NTRS,Northern Trust Corp.,Financials,"Northern Trust Corporation is a financial services company organized in Delaware and headquartered in Chicago, Illinois that caters to corporations, institutional investors, and high net worth individuals."
NOC,Northrop Grumman Corp.,Industrials,Northrop Grumman Corporation is an American global aerospace and defense technology company formed by Northrop's 1994 purchase of Grumman. The company was the fifth-largest defense contractor in the world in 2015.
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Norwegian Cruise Line is a subsidiary of Norwegian Cruise Line Holdings Ltd, an American-Bermudian company operating cruise ships, headquartered in unincorporated Miami-Dade County, Florida."
NRG,NRG Energy,Utilities,"NRG Energy, Inc. is a large American energy company, dual-headquartered in West Windsor Township, New Jersey, and Houston, Texas. It was formerly the wholesale arm of Xcel Energy, and was spun off in bankruptcy in 2004."
NUE,Nucor Corp.,Materials,"Nucor Corporation is a producer of steel and related products headquartered in Charlotte, North Carolina. It is the largest steel producer in the United States of America and is the largest ""mini-mill"" steelmaker."
NVDA,Nvidia Corporation,Information Technology,"Nvidia Corporation is an American technology company incorporated in Delaware and based in Santa Clara, California."
ORLY,O'Reilly Automotive,Consumer Discretionary,"OReilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers."
OXY,Occidental Petroleum,Energy,"Occidental Petroleum Corporation is an American multinational petroleum and natural gas exploration and production company incorporated in Delaware and headquartered in Houston, Texas with operations ..."
OMC,Omnicom Group,Consumer Discretionary,"Omnicom Group, Inc. is an American global marketing and corporate communications holding company, headquartered in New York City."
OKE,ONEOK,Energy,"ONEOK, Inc. is a diversified Fortune 200 corporation based in Tulsa, Oklahoma. ONEOK was founded in 1906 as Oklahoma Natural Gas Company, but It changed its corporate name to ONEOK in December 1980."
ORCL,Oracle Corp.,Information Technology,"Oracle Corporation is an American multinational computer technology corporation, headquartered in Redwood Shores, California."
PCAR,PACCAR Inc.,Industrials,PACCAR Inc is an American Fortune 500 company and counts among the largest manufacturers of medium- and heavy-duty commercial vehicles in the world.
PKG,Packaging Corporation of America,Materials,"Packaging Corporation of America is an American manufacturing company based in Lake Forest, Illinois.The company has about 14,000 employees, with operations primarily in the United States."
PH,Parker-Hannifin,Industrials,"Parker Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies."
PAYX,Paychex Inc.,Information Technology,"Paychex, Inc. is an American provider of payroll, human resource, and benefits outsourcing services for small- to medium-sized businesses."
PYPL,PayPal,Information Technology,"PayPal Holdings, Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders."
